feature,importance,model,feature_set
volatility_20,0.12255977521615706,RandomForestClassifier,market_fundamental
drawdown_current,0.11748638309550759,RandomForestClassifier,market_fundamental
relative_strength_vs_spy_126,0.11516636066906884,RandomForestClassifier,market_fundamental
relative_strength_vs_spy_63,0.10926627563939227,RandomForestClassifier,market_fundamental
distance_to_ma_200,0.10229312530132735,RandomForestClassifier,market_fundamental
momentum_126,0.099692126515355,RandomForestClassifier,market_fundamental
momentum_21,0.09407894147387266,RandomForestClassifier,market_fundamental
momentum_63,0.08757957580900254,RandomForestClassifier,market_fundamental
risk_adjusted_return_63,0.08565145790272634,RandomForestClassifier,market_fundamental
volume_momentum_20,0.0662259783775904,RandomForestClassifier,market_fundamental
downside_volatility_20,0.0,RandomForestClassifier,market_fundamental
